img_id,rep,date,live_a1,dead_a1,soil_a1,LAI_a1,live_a2,dead_a2,soil_a2,LAI_a2,live_a3,dead_a3,soil_a3,LAI_a3,live_a4,dead_a4,soil_a4,LAI_a4,LAI_m2,visual_cov,crop
r106a,1,02.05.2018,28.053343336,38.289185134,33.65747153,0.280533433,26.474011234,41.691674361,31.834314404,0.264740112,26.938577255,41.826812096,31.234610649,0.269385773,60.1228262542,34.7679093567,5.10926438904,0.601228262542,0.269387755,37.5,ryegrass
r106b,1,02.05.2018,26.029162819,38.488284857,35.482552324,0.260291628,25.099549861,41.438711911,33.461738227,0.250995499,25.608360265,41.566635888,32.825003847,0.256083603,58.6613188673,35.5152546938,5.8234264389,0.586613188673,0.269387755,37.5,ryegrass
r107a,1,02.05.2018,36.995036934,39.126461988,23.878501077,0.369950369,37.037838566,41.335314712,21.626846722,0.370378386,37.645236996,41.310307018,21.044455986,0.37645237,69.2318790397,28.1769390582,2.59118190212,0.692318790397,0.282142857,50,ryegrass
r107b,1,02.05.2018,36.640120037,41.444963835,21.914916128,0.3664012,36.522776239,43.451831333,20.025392428,0.365227762,37.076792859,43.397968606,19.525238535,0.370767929,68.3190981841,29.3470106187,2.33389119729,0.683190981841,0.303571429,50,ryegrass
r108a,1,02.05.2018,54.436942136,26.683691136,18.879366728,0.544369421,60.196887504,24.239669898,15.563442598,0.601968875,61.409279778,23.799149738,14.791570483,0.614092798,88.6205370883,10.2238188673,1.15564404432,0.886205370883,0.56377551,100,ryegrass
r108b,1,02.05.2018,55.006829024,26.277797014,18.715373961,0.55006829,60.377712373,24.034799169,15.587488458,0.603777124,61.559806864,23.622172207,14.81802093,0.615598069,88.4315366267,10.3979108957,1.17055247769,0.884315366267,0.510714286,100,ryegrass
r201a,2,02.05.2018,14.777142967,39.994998461,45.227858572,0.14777143,15.091181902,41.325215451,43.583602647,0.150911819,15.349434441,41.468528778,43.182036781,0.153494344,46.4825715605,47.4573907356,6.06003770391,0.464825715605,0.27244898,37.5,ryegrass
r201b,2,02.05.2018,14.626134965,37.875596337,47.498268698,0.14626135,15.076273469,39.325561711,45.59816482,0.150762735,15.38069406,39.493882733,45.125423207,0.153806941,47.5901238843,45.734264389,6.67561172669,0.475901238843,0.251020408,37.5,ryegrass
r202a,2,02.05.2018,35.335872576,34.649603724,30.0145237,0.353358726,43.674976916,30.733014004,25.59200908,0.436749769,44.68442213,30.411280394,24.904297476,0.446844221,78.4587565405,19.3958718067,2.14537165282,0.784587565405,0.590306122,100,ryegrass
r202b,2,02.05.2018,36.812769314,36.310210834,26.877019852,0.368127693,44.547360726,32.459025854,22.99361342,0.445473607,45.549111265,32.07765851,22.373230225,0.455491113,78.867536165,19.4723376424,1.66012619267,0.78867536165,0.56377551,100,ryegrass
r203a,2,02.05.2018,30.345875654,34.644794552,35.009329794,0.303458757,29.860149277,36.901738997,33.238111727,0.298601493,29.992401508,37.111418898,32.896179594,0.299924015,59.2768928901,36.0711949831,4.65191212681,0.592768928901,0.321428571,50,ryegrass
r203b,2,02.05.2018,30.251615882,35.710507079,34.037877039,0.302516159,29.771660511,37.887619267,32.340720222,0.297716605,29.908721914,38.067001385,32.024276701,0.299087219,59.2590989535,36.4006232687,4.34027777778,0.592590989535,0.289285714,50,ryegrass
